product_id,name,brand,mrp,selling_price,inventory,unit,category,ingestion_time
29,Namkeen Snacks,,,,,,,2026-02-11 23:46:05.734489
816,Makhana & More,,,,,,,2026-02-11 23:46:05.734489
80,Papad & Fryums,,,,,,,2026-02-11 23:46:05.734489
2362,Imported Snacks,,,,,,,2026-02-11 23:46:05.734489
1694,Munchies Gift Packs,,,,,,,2026-02-11 23:46:05.735486
332,Cold Drinks & Juices,,,,,,,2026-02-11 23:46:05.735486
1323,Beverages Gift Packs,,,,,,,2026-02-11 23:46:05.735486
1102,Soft Drinks,,,,,,,2026-02-11 23:46:05.735486
1107,Cold Drink Cans,,,,,,,2026-02-11 23:46:05.735486
23,Cold Drink Bottles,,,,,,,2026-02-11 23:46:05.735486
1486,Non-Alcoholic Drinks,,,,,,,2026-02-11 23:46:05.735486
2666,Sparkling Drinks,,,,,,,2026-02-11 23:46:05.735486
955,Fruit Juice,,,,,,,2026-02-11 23:46:05.735486
367,Fruit Juices,,,,,,,2026-02-11 23:46:05.735486
1108,Mango Drinks,,,,,,,2026-02-11 23:46:05.735486
1318,Pure Juices,,,,,,,2026-02-11 23:46:05.735486
109,Concentrates & Syrups,,,,,,,2026-02-11 23:46:05.735486
24,"Syrups, Sharbat & Instant Mixes",,,,,,,2026-02-11 23:46:05.735486
1109,Herbal Drinks,,,,,,,2026-02-11 23:46:05.735486
91,Energy Drinks,,,,,,,2026-02-11 23:46:05.735486
19,Caffeinated Energy Drinks,,,,,,,2026-02-11 23:46:05.735486
640,Hydration Drinks,,,,,,,2026-02-11 23:46:05.735486
1594,Coconut Water,,,,,,,2026-02-11 23:46:05.735486
270,Water & Ice Cubes,,,,,,,2026-02-11 23:46:05.735486
22,Mineral Water,,,,,,,2026-02-11 23:46:05.735486
219,Ice Cubes,,,,,,,2026-02-11 23:46:05.735486
1953,Cold Coffee & Ice Tea,,,,,,,2026-02-11 23:46:05.735486
412,Cold Coffee,,,,,,,2026-02-11 23:46:05.735486
93,Ice Tea,,,,,,,2026-02-11 23:46:05.735486
1599,Soda & Mixers,,,,,,,2026-02-11 23:46:05.735486
