product_id,name,brand,mrp,selling_price,inventory,unit,category,ingestion_time
29,Namkeen Snacks,,,,,,,2026-03-07 22:55:55.729844
816,Makhana & More,,,,,,,2026-03-07 22:55:55.729844
80,Papad & Fryums,,,,,,,2026-03-07 22:55:55.729844
2362,Imported Snacks,,,,,,,2026-03-07 22:55:55.729844
1694,Munchies Gift Packs,,,,,,,2026-03-07 22:55:55.729844
332,Cold Drinks & Juices,,,,,,,2026-03-07 22:55:55.730856
1323,Beverages Gift Packs,,,,,,,2026-03-07 22:55:55.730856
1102,Soft Drinks,,,,,,,2026-03-07 22:55:55.730856
1107,Cold Drink Cans,,,,,,,2026-03-07 22:55:55.730856
23,Cold Drink Bottles,,,,,,,2026-03-07 22:55:55.730856
1486,Non-Alcoholic Drinks,,,,,,,2026-03-07 22:55:55.730856
2666,Sparkling Drinks,,,,,,,2026-03-07 22:55:55.730856
955,Fruit Juice,,,,,,,2026-03-07 22:55:55.730856
367,Fruit Juices,,,,,,,2026-03-07 22:55:55.730856
1108,Mango Drinks,,,,,,,2026-03-07 22:55:55.731323
1318,Pure Juices,,,,,,,2026-03-07 22:55:55.731323
109,Concentrates & Syrups,,,,,,,2026-03-07 22:55:55.731323
24,"Syrups, Sharbat & Instant Mixes",,,,,,,2026-03-07 22:55:55.731323
1109,Herbal Drinks,,,,,,,2026-03-07 22:55:55.731323
91,Energy Drinks,,,,,,,2026-03-07 22:55:55.731323
19,Caffeinated Energy Drinks,,,,,,,2026-03-07 22:55:55.731323
640,Hydration Drinks,,,,,,,2026-03-07 22:55:55.731323
1594,Coconut Water,,,,,,,2026-03-07 22:55:55.731323
270,Water & Ice Cubes,,,,,,,2026-03-07 22:55:55.731323
22,Mineral Water,,,,,,,2026-03-07 22:55:55.731842
219,Ice Cubes,,,,,,,2026-03-07 22:55:55.731842
1953,Cold Coffee & Ice Tea,,,,,,,2026-03-07 22:55:55.731842
412,Cold Coffee,,,,,,,2026-03-07 22:55:55.731842
93,Ice Tea & Kombucha,,,,,,,2026-03-07 22:55:55.731842
1599,Soda & Mixers,,,,,,,2026-03-07 22:55:55.731842
1103,Cocktail Mixers,,,,,,,2026-03-07 22:55:55.731842
1600,Soda,,,,,,,2026-03-07 22:55:55.731842
4230,Tonic & Ale,,,,,,,2026-03-07 22:55:55.731842
2360,Imported Beverages,,,,,,,2026-03-07 22:55:55.731842
15,Instant & Frozen Food,,,,,,,2026-03-07 22:55:55.731842
962,Noodles,,,,,,,2026-03-07 22:55:55.731842
41,Instant Noodles,,,,,,,2026-03-07 22:55:55.731842
1138,Hakka Noodles,,,,,,,2026-03-07 22:55:55.731842
1139,Cup Noodles,,,,,,,2026-03-07 22:55:55.731842
1413,Frozen Veg Snacks,,,,,,,2026-03-07 22:55:55.731842
122,Frozen Potato Snacks,,,,,,,2026-03-07 22:55:55.731842
125,Vegetable Frozen Snacks,,,,,,,2026-03-07 22:55:55.732844
116,Frozen Veg Indian Breads,,,,,,,2026-03-07 22:55:55.732844
1412,Frozen Non-Veg Snacks,,,,,,,2026-03-07 22:55:55.732844
1449,Frozen Chicken Snacks,,,,,,,2026-03-07 22:55:55.732844
94,Frozen Seafood Snacks,,,,,,,2026-03-07 22:55:55.732844
514,Frozen Exotic Meat Snacks,,,,,,,2026-03-07 22:55:55.732844
86,Frozen Mutton Snacks,,,,,,,2026-03-07 22:55:55.732844
968,Pasta & More,,,,,,,2026-03-07 22:55:55.732844
963,Instant Pasta,,,,,,,2026-03-07 22:55:55.732844
1753,Pasta,,,,,,,2026-03-07 22:55:55.732844
965,Instant Mixes,,,,,,,2026-03-07 22:55:55.732844
1142,Breakfast & Instant Mixes,,,,,,,2026-03-07 22:55:55.732844
3464,Cake Mix,,,,,,,2026-03-07 22:55:55.732844
1752,Dessert Mixes,,,,,,,2026-03-07 22:55:55.732844
1770,Drink Mixes,,,,,,,2026-03-07 22:55:55.732844
3465,Pancake Mix,,,,,,,2026-03-07 22:55:55.732844
966,Spice Mixes,,,,,,,2026-03-07 22:55:55.732844
964,Soup,,,,,,,2026-03-07 22:55:55.732844
1294,Ready to Cook & Eat,,,,,,,2026-03-07 22:55:55.733857
40,Canned Food,,,,,,,2026-03-07 22:55:55.733857
1182,Heat & Eat,,,,,,,2026-03-07 22:55:55.733857
679,Ready to Cook,,,,,,,2026-03-07 22:55:55.733857
970,Dessert & Cake Mixes,,,,,,,2026-03-07 22:55:55.733857
1968,Herbs & Seasoning,,,,,,,2026-03-07 22:55:55.733857
1127,Plant Based Meat,,,,,,,2026-03-07 22:55:55.733857
2361,Imported Noodles & Pasta,,,,,,,2026-03-07 22:55:55.733857
12,"Tea, Coffee & Milk Drinks",,,,,,,2026-03-07 22:55:55.733857
957,Tea,,,,,,,2026-03-07 22:55:55.733857
25,Leaf & Dust Tea,,,,,,,2026-03-07 22:55:55.733857
1561,Black Tea,,,,,,,2026-03-07 22:55:55.733857
2479,Tea Premix,,,,,,,2026-03-07 22:55:55.733857
1322,Coffee,,,,,,,2026-03-07 22:55:55.733857
958,Instant Coffee,,,,,,,2026-03-07 22:55:55.733857
1589,Filter Coffee,,,,,,,2026-03-07 22:55:55.733857
720,Roasted & Ground Coffee,,,,,,,2026-03-07 22:55:55.733857
1105,Coffee Bags,,,,,,,2026-03-07 22:55:55.733857
960,Milk Drinks,,,,,,,2026-03-07 22:55:55.733857
1106,Chocolate Health Drinks,,,,,,,2026-03-07 22:55:55.733857
21,Health Drinks & Supplements,,,,,,,2026-03-07 22:55:55.733857
2186,Adult Milk Drinks,,,,,,,2026-03-07 22:55:55.733857
1605,Green & Flavoured Tea,,,,,,,2026-03-07 22:55:55.733857
1562,Exotic & Flavoured Tea,,,,,,,2026-03-07 22:55:55.733857
